"filename", "language", "C#", "XML", "JSON", "YAML", "Markdown", "HTML", "C++", "CMake", "Swift", "Groovy", "Properties", "Dart", "Python", "comment", "blank", "total"
"d:\SIC-GP5\sic_home\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\SIC-GP5\sic_home\lib\apis\api_client.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 11, 90
"d:\SIC-GP5\sic_home\lib\apis\authentication\authentication.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 4, 18, 102
"d:\SIC-GP5\sic_home\lib\apis\authentication\authentication_api.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 1, 12, 62
"d:\SIC-GP5\sic_home\lib\apis\authentication\exceptions\authentication_exception.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 11, 61
"d:\SIC-GP5\sic_home\lib\apis\authentication\interfaces\iauthentication.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 9, 22
"d:\SIC-GP5\sic_home\lib\apis\authentication\interfaces\iauthentication_api.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 4, 12
"d:\SIC-GP5\sic_home\lib\apis\authentication\token_manager.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 1, 20, 110
"d:\SIC-GP5\sic_home\lib\apis\devices_api.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 10, 51
"d:\SIC-GP5\sic_home\lib\apis\devices_api.g.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 249, 0, 5, 20, 274
"d:\SIC-GP5\sic_home\lib\apis\places_api.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 8, 41
"d:\SIC-GP5\sic_home\lib\apis\places_api.g.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 181, 0, 5, 18, 204
"d:\SIC-GP5\sic_home\lib\apis\sections_api.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 9, 46
"d:\SIC-GP5\sic_home\lib\apis\sections_api.g.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 215, 0, 5, 19, 239
"d:\SIC-GP5\sic_home\lib\apis\users_api.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 7, 34
"d:\SIC-GP5\sic_home\lib\apis\users_api.g.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 169, 0, 5, 17, 191
"d:\SIC-GP5\sic_home\lib\assets\config.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\SIC-GP5\sic_home\lib\assets\icons\Universe Verification Badge Background.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\SIC-GP5\sic_home\lib\assets\icons\Universe Verification Badge Foreground.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\SIC-GP5\sic_home\lib\assets\icons\Universe Verification Badge.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\SIC-GP5\sic_home\lib\assets\icons\about.svg", "XML", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\SIC-GP5\sic_home\lib\assets\icons\account.svg", "XML", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\SIC-GP5\sic_home\lib\assets\icons\animated_verification.json", "JSON", 0, 0, 503, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 504
"d:\SIC-GP5\sic_home\lib\assets\icons\bell.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\SIC-GP5\sic_home\lib\assets\icons\bellFilled.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\SIC-GP5\sic_home\lib\assets\icons\edit.svg", "XML", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\SIC-GP5\sic_home\lib\assets\icons\editFilled.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\SIC-GP5\sic_home\lib\assets\icons\facebook.svg", "XML", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"d:\SIC-GP5\sic_home\lib\assets\icons\google.svg", "XML", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"d:\SIC-GP5\sic_home\lib\assets\icons\heart.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\SIC-GP5\sic_home\lib\assets\icons\heartFilled.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\SIC-GP5\sic_home\lib\assets\icons\home.svg", "XML", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\SIC-GP5\sic_home\lib\assets\icons\homeFilled.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\SIC-GP5\sic_home\lib\assets\icons\lock.svg", "XML", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\SIC-GP5\sic_home\lib\assets\icons\message.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\SIC-GP5\sic_home\lib\assets\icons\messageFilled.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\SIC-GP5\sic_home\lib\assets\icons\microsoft.svg", "XML", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"d:\SIC-GP5\sic_home\lib\assets\icons\reply.svg", "XML", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\SIC-GP5\sic_home\lib\assets\icons\save.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\SIC-GP5\sic_home\lib\assets\icons\saveFilled.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\SIC-GP5\sic_home\lib\assets\icons\search.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\SIC-GP5\sic_home\lib\assets\icons\searchFilled.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\SIC-GP5\sic_home\lib\assets\icons\settings.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\SIC-GP5\sic_home\lib\assets\icons\share.svg", "XML", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\SIC-GP5\sic_home\lib\assets\icons\shield.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\SIC-GP5\sic_home\lib\assets\icons\user.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\SIC-GP5\sic_home\lib\assets\icons\userFilled.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\SIC-GP5\sic_home\lib\assets\icons\world.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\SIC-GP5\sic_home\lib\config.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 9, 38
"d:\SIC-GP5\sic_home\lib\firebase_options.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 12, 7, 89
"d:\SIC-GP5\sic_home\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 4, 66
"d:\SIC-GP5\sic_home\lib\models\authentication\login_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 4, 19
"d:\SIC-GP5\sic_home\lib\models\authentication\notification_token.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 6, 38
"d:\SIC-GP5\sic_home\lib\models\authentication\register_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 4, 36
"d:\SIC-GP5\sic_home\lib\models\authentication\tokens_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 10, 56
"d:\SIC-GP5\sic_home\lib\models\create_device_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 6, 29
"d:\SIC-GP5\sic_home\lib\models\create_device_model.g.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 4, 6, 35
"d:\SIC-GP5\sic_home\lib\models\create_place_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 6, 20
"d:\SIC-GP5\sic_home\lib\models\create_place_model.g.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 4, 5, 20
